gene	core	inter	rare	total_presence	truncation_assignments	gene_class	label	fill	means
mazE_1	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
mazF_1	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_4860	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_7731	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_9208	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_4261	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_13526	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
virB4_2	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
virB5	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_1296	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
virB8	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_2718	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_9196	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_13515	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_4398	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
traD_2	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_6287	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_13508	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_1280	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0238813593127436
group_7712	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_2731	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_2732	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_2691	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_4384*	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_7737	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_6302	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_9224	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0252587697810632
group_4965	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0216812242319135
group_12593	0	1	10	11	normal	Varied	11/47	Intermediate and rare	0.0367398002582427
group_2714	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0225718015768536
group_4532	0	0	11	11	common variant (short)	Rare	11/47	Multi-cluster rare	0.0259604689752437
group_7901	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0314661080284682
group_2364	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0314661080284682
group_6594	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0157330620491588
group_3874	0	1	10	11	normal	Varied	11/47	Intermediate and rare	0.0439933965603315
group_865	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.0421086393864005
mbeA	0	8	21	29	normal	Varied	29/47	Intermediate and rare	0.16361048234175
imm_1	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.0621992090149097
traA_2	0	1	23	24	normal	Varied	24/47	Intermediate and rare	0.0422434583564373
group_1833	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0318181336385687
ymoA	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0419603883074369
group_3245*	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.0309451849762506
group_1473*	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0447573947557887
group_9148	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.041760511888776
group_2299	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0458206829403961
group_3852	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.046543109041503
group_9939	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0460043376695054
group_2362	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0458206829403961
group_9941	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0458206829403961
group_3893	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0475625773776317
group_4554	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0451381888210032
group_5885	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.02670023488798
group_2143	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0458206829403961
group_2345	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0441540162737294
group_6593	0	1	14	15	normal	Varied	15/47	Intermediate and rare	0.047338441767094
group_1559	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0503837601056203
group_4684	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0162865790807508
group_2146	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0455417429125021
group_1582	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0343335854917958
pinR	0	3	9	12	normal	Varied	12/47	Intermediate and rare	0.159242341563349
group_4075	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0197573347843012
group_7093	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0220075624224852
group_3025	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0174005872548879
ifcA	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0174887173514571
group_2841	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0117398915346831
group_6963*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0151946819520138
group_1723	0	2	32	34	normal	Varied	34/47	Intermediate and rare	0.0547037857219042
group_3977	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0246296281699341
group_2931	0	0	10	10	common variant (short)	Rare	10/47	Multi-cluster rare	0.0160854012729195
group_5205	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0192621603763442
group_12865	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.012477821528587
group_3994	0	0	17	17	common variant (long)	Rare	17/47	Multi-cluster rare	0.0265003533987357
group_7283	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.0340582827814829
group_4140	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0215763384001978
group_3542	0	0	16	16	normal	Rare	16/47	Multi-cluster rare	0.0317135518461098
group_3586	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.048640174816109
group_5664	0	0	19	19	normal	Rare	19/47	Multi-cluster rare	0.027332747320882
group_10720	0	1	22	23	normal	Varied	23/47	Intermediate and rare	0.0450366663074036
group_3061	0	1	12	13	normal	Varied	13/47	Intermediate and rare	0.0576100807376783
group_6207	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.038842122009844
group_10126	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0297371801842487
group_7864	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0297371801842487
group_9613	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0307934779407274
group_3216	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0256254971888218
group_2003	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.0476169193919978
group_3939	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0447547678113926
group_12553	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.0511321289831567
group_7821	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0215902395283284
group_2603	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0321398482899745
virB9_2	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0237030141061083
group_4402	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0230227419972647
group_4397	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0230227419972647
group_9189*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0228252059649264
group_13499	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0230227419972647
group_3736	0	4	10	14	normal	Varied	14/47	Intermediate and rare	0.130732154587934
group_7462	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0290322388319793
group_1948	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0414969282846016
group_9446	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0287436509728911
group_7200*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0287436509728911
group_6164	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0139821165026807
group_4075*	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.0454100739799658
group_7254	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0258927805855218
group_5386	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0191979732671147
group_6183*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0264895137456777
group_3028	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.016863127280759
group_1831	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0131428408592539
group_6408	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0183521090128204
group_4048	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0179756450405235
group_9220	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.026060508828135
group_7258	0	1	10	11	normal	Varied	11/47	Intermediate and rare	0.0395494261473244
group_3763	0	1	9	10	normal	Varied	10/47	Intermediate and rare	0.0428184589146383
group_9238	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0231733086834428
group_4695	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0235917187252838
blc_1	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0293623262470628
group_2472	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0193433043780523
group_2739	0	1	21	22	normal	Varied	22/47	Intermediate and rare	0.038411863841826
group_9193	0	2	23	25	normal	Varied	25/47	Intermediate and rare	0.0485831736103777
group_5067	0	0	21	21	common variant (long)	Rare	21/47	Multi-cluster rare	0.0357166447090918
group_4090	0	0	20	20	normal	Rare	20/47	Multi-cluster rare	0.0321093204474786
group_3851	0	0	14	14	common variant (long)	Rare	14/47	Multi-cluster rare	0.0488265398963624
group_2360	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0493541230272041
rdgC_2	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0406759461437079
group_2399	0	0	14	14	common variant (long)	Rare	14/47	Multi-cluster rare	0.0439048742604111
group_8301	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0346550632248858
group_9145	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0401598046230441
group_4636	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0455712551960845
pphA_3	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0477135542375012
group_1586	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0451775434058124
group_1722	0	0	14	14	common variant (long)	Rare	14/47	Multi-cluster rare	0.0480369643426096
group_3960	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0453018772423188
group_2180	0	0	13	13	common variant (long)	Rare	13/47	Multi-cluster rare	0.0388124833311915
group_8315	0	1	13	14	normal	Varied	14/47	Intermediate and rare	0.0462763784176295
group_10856	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0224625992513526
group_3617	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.0350015130328405
group_6381	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0153420085931304
group_5119	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0230378003971681
group_3408	0	3	22	25	normal	Varied	25/47	Intermediate and rare	0.0892813960360522
group_3169	0	2	21	23	normal	Varied	23/47	Intermediate and rare	0.0551117821443181
group_6471	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148233719565886
group_3293	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0206108341773867
group_6054*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0088437876586611
group_4250	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.02379645209016
parM_2	0	2	31	33	normal	Varied	33/47	Intermediate and rare	0.0551959750328244
group_2759	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0207777904820398
group_3842	0	0	19	19	normal	Rare	19/47	Multi-cluster rare	0.038349801069679
group_5067*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0278929740022182
group_10524	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0154876660327943
group_8161	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
soj	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7389	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_11709	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7391	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_4660*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_12478	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_2401*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_11704	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_11758	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_8151	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_5819	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_12471	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_5821	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
topB_3	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_11693	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12464	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_8140	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_5829	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_11689	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12460	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_8136	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12458	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12457	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_4684*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12455	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_8131	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_10350	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_12452	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_11679	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_2428	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0116237046622085
group_5805	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0138664600342209
group_5741	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
tus_2	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_5743	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_7496	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_12376	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11828	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_4605	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_2519	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_8059	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_2521	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_7505	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_7506	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_7507	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_7508	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11818	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11817	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11816	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_4619	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11758*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0137604567989607
group_11812	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7516	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_8044	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_2536	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_10443	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_5765	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_5766	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_2540	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7524	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_10449	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_4632	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
hupB_2	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_10456*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_12340	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
higB2	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_10459	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_4642	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7537	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_7538	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_8022	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_12333	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_8020	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148288328673368
group_3842*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0265025579151286
group_5059	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0303442395869335
group_3485	0	0	9	9	common variant (long)	Rare	9/47	Multi-cluster rare	0.0233421312677005
group_7968	0	0	18	18	normal	Rare	18/47	Multi-cluster rare	0.0285837443683581
group_5647	0	0	9	9	common variant (long)	Rare	9/47	Multi-cluster rare	0.0200720185043916
group_3066	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.036235633678369
group_7420	0	1	10	11	normal	Varied	11/47	Intermediate and rare	0.0966489603823311
group_3360	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0363200988546916
